min_score,netlot_th,adx_th,ars_mesafe_th,Net Profit,Trades,Win Rate,Profit Factor
3,15,25,0.1,2052.0,11509,36.86679989573378,1.0343839541547277
3,15,25,0.25,2051.0,10863,36.92350179508423,1.035677631464505
4,15,20,0.1,2051.0,7561,35.22020896706785,1.0406130571671848
4,20,20,0.25,2047.0,6232,35.0609756097561,1.04327146662157
3,15,30,0.1,2039.0,12895,37.231485071733225,1.032632353882594
5,5,15,0.25,2029.0,5643,34.077618288144606,1.0484225096654098
4,20,15,0.1,2020.0,5817,32.800412583806086,1.0432538917796192
3,20,20,0.25,1994.0,7180,35.50139275766016,1.0396137952956135
4,5,15,0.25,1982.0,6835,34.65983906364302,1.0434753997674877
4,20,15,0.25,1980.0,5547,32.86461150171264,1.0436575309240843
4,10,25,0.15,1977.0,10595,36.951392166116094,1.0355058278407356
3,15,30,0.25,1975.0,12237,37.313066928168666,1.0327219709395763
3,20,20,0.1,1971.0,7701,35.46292689261135,1.0377644083384427
4,10,25,0.1,1954.0,10783,36.73374756561254,1.0346613687160748
3,10,30,0.25,1873.0,13374,37.53551667414386,1.030035279025016
4,10,25,0.25,1867.0,10193,36.87824977926027,1.0342921166703403
3,5,15,0.25,1857.0,7133,34.88013458572831,1.0398943026553236
3,5,30,0.15,1826.0,14726,37.83783783783784,1.0280005520371704
4,5,30,0.15,1823.0,13031,37.6103138669327,1.030103869082022
4,5,30,0.1,1785.0,13257,37.444369012597114,1.0291114880292256
5,5,20,0.25,1730.0,5278,34.08488063660477,1.0414024171353355
3,5,30,0.1,1716.0,14994,37.748432706415905,1.0259469267407575
4,10,30,0.1,1639.0,12073,37.09102957011513,1.0279611716737465
4,10,30,0.15,1623.0,11879,37.32637427392878,1.0279972399516992
3,5,30,0.25,1526.0,14187,37.76696976104885,1.0239286218305552
4,10,30,0.25,1514.0,11452,37.251135172895566,1.0266713643970757
4,5,30,0.25,1506.0,12552,37.531867431485026,1.025359939378631
